,State,Technology,Count
348,VA,Real-Time Crime Center,1
349,CA ,Body-worn Cameras,1
350,VI,Body-worn Cameras,1
351,DC,Gunshot Detection,1
352,DC,Video Analytics,1
353,AK,Cell-site Simulator,1
354,CO,Real-Time Crime Center,1
355,MO,Real-Time Crime Center,1
356,DC,Camera Registry,1
357,DC,Fusion Center,1
358,TX,Gunshot Detection,1
359,DC,Body-worn Cameras,1
360,DC,Face Recognition,1
361,NH,Ring/Neighbors Partnership,1
362,DC,Automated License Plate Readers,1
363,NH,Real-Time Crime Center,1
364,CT,Real-Time Crime Center,1
365,UT,Real-Time Crime Center,1
366,NH,Fusion Center,1
367,CT,Fusion Center,1
368,UT,Face Recognition,1
369,VT,Automated License Plate Readers,1
370,UT,Fusion Center,1
371,UT,Predictive Policing,1
372,VI,Fusion Center,1
373,NV,Gunshot Detection,1
374,MT,Camera Registry,1
375,NE,Gunshot Detection,1
376,ND,Fusion Center,1
377,WI,Gunshot Detection,1
378,WI,Predictive Policing,1
379,AL,Cell-site Simulator,1
380,ND,Face Recognition,1
381,NB,Drones,1
382,WV,Camera Registry,1
383,AK,Fusion Center,1
384,WV,Face Recognition,1
